"id","title","title_japanese","type","source","episodes","status","aired_from","aired_to","score","scored_by","rank","popularity","members","favorites","rating","duration","year","season","genres","studios","image_url","synopsis"
"16498","Shingeki no Kyojin","進撃の巨人","TV","MANGA","25","FINISHED","2013-04-07","2013-09-28","8.5","","1","1020115","","81931","","24","2013","SPRING","Action, Drama, Fantasy, Mystery","WIT STUDIO","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx16498-buvcRTBx4NSm.jpg","Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans.<br><br>
Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren an"
"101922","Kimetsu no Yaiba","鬼滅の刃","TV","MANGA","26","FINISHED","2019-04-06","2019-09-28","8.3","","2","964423","","57949","","24","2019","SPRING","Action, Adventure, Drama, Fantasy, Supernatural","ufotable","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101922-WBsBl0ClmgYL.jpg","It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family.<br>
<br>
(Source: Crunchyroll)"
"113415","Jujutsu Kaisen","呪術廻戦","TV","MANGA","24","FINISHED","2020-10-03","2021-03-27","8.4","","3","937236","","66690","","24","2020","FALL","Action, Drama, Supernatural","MAPPA","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113415-LHBAeoZDIsnF.jpg","A boy fights... for ""the right death.""<br>
<br>
Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse.<br>
<br>
Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attack"
"1535","DEATH NOTE","DEATH NOTE","TV","MANGA","37","FINISHED","2006-10-04","2007-06-27","8.4","","4","929855","","62843","","23","2006","FALL","Mystery, Psychological, Supernatural, Thriller","MADHOUSE","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1535-kUgkcrfOrkUM.jpg","Light Yagami is a genius high school student who is about to learn about life through a book of death. When a bored shinigami, a God of Death, named Ryuk drops a black notepad called a <i>Death Note</i>, Light receives power over life and death with the stroke of a pen. Determined to use this dark gift for the best, Light sets out to rid the world of evil… namely, the people he believes to be evil. Should anyone hold such power?<br>
<br>
The consequences of Light’s actions will set the world abl"
"21459","Boku no Hero Academia","僕のヒーローアカデミア","TV","MANGA","13","FINISHED","2016-04-03","2016-06-26","7.7","","5","849641","","33378","","24","2016","SPRING","Action, Adventure, Comedy","bones","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21459-nYh85uj2Fuwr.jpg","What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless?<br><br>

Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce"
"11061","HUNTER×HUNTER (2011)","HUNTER×HUNTER (2011)","TV","MANGA","148","FINISHED","2011-10-02","2014-09-24","8.9","","6","815426","","93854","","24","2011","FALL","Action, Adventure, Fantasy","MADHOUSE","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11061-y5gsT1hoHuHw.png","A new adaption of the manga of the same name by Togashi Yoshihiro.<br><br>
A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him.<br><br>
After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, not"
"21087","One Punch Man","ワンパンマン","TV","MANGA","12","FINISHED","2015-10-05","2015-12-21","8.3","","7","748143","","31981","","24","2015","FALL","Action, Comedy, Sci-Fi, Supernatural","MADHOUSE","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21087-B5DHjqZ3kW4b.jpg","Saitama has a rather peculiar hobby, being a superhero, but despite his heroic deeds and superhuman abilities, a shadow looms over his life. He's become much too powerful, to the point that every opponent ends up defeated with a single punch.
<br><br>
The lack of challenge has driven him into a state of apathy, as he watches his life pass by having lost all enthusiasm, at least until he's unwillingly thrust in the role of being a mentor to the young and revenge-driven Genos.   

"
"21","ONE PIECE","ONE PIECE","TV","MANGA","","RELEASING","1999-10-20","","8.7","","8","722218","","105431","","24","1999","FALL","Action, Adventure, Comedy, Drama, Fantasy","Toei Animation","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21-ELSYx3yMPcKM.jpg","Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most co"
"20605","Tokyo Ghoul","東京喰種 トーキョーグール","TV","MANGA","12","FINISHED","2014-07-04","2014-09-19","7.6","","9","718783","","26083","","24","2014","SUMMER","Action, Drama, Horror, Mystery, Psychological, Supernatural","Studio Pierrot","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b20605-k665mVkSug8D.jpg","The suspense horror/dark fantasy story is set in Tokyo, which is haunted by mysterious ""ghouls"" who are devouring humans. People are gripped by the fear of these ghouls whose identities are masked in mystery. An ordinary college student named Kaneki encounters Rize, a girl who is an avid reader like him, at the café he frequents. Little does he realize that his fate will change overnight.
<br><br>
(Source: Anime News Network)"
"20958","Shingeki no Kyojin Season 2","進撃の巨人 Season２","TV","MANGA","12","FINISHED","2017-04-01","2017-06-17","8.5","","10","712831","","20950","","25","2017","SPRING","Action, Drama, Fantasy, Mystery","WIT STUDIO","https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20958-HuFJyr54Mmir.jpg","Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues!<br><br>

(Source: Funimation)"
